QUESTION: Does transjugular intrahepatic portosystemic shunt (TIPS) improve outcomes for adults with hepatorenal syndrome?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do non-pharmacological interventions help reduce pain during endotracheal suctioning in preterm infants?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is tranexamic acid effective in reducing blood loss during hip or knee replacement surgery?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are off-midline wound closure methods more effective than midline methods for treating pilonidal sinus disease?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Does testosterone replacement therapy improve sexual dysfunction in men?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Do psychological interventions improve health outcomes in children with asthma?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does alpha-lipoic acid improve symptoms of diabetic peripheral neuropathy?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Are oral killed cholera vaccines effective and safe for preventing cholera in children and adults?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do behavioral-change interventions help increase seat belt use?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do mindfulness-enhanced parent training programmes improve the psychosocial functioning of children and their parents?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Is retrograde distal access more effective than conventional femoral access for below the knee angioplasty?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is there a safe and effective anticoagulation strategy for long-term haemodialysis in people with kidney failure?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can electronic cigarettes help people quit smoking tobacco?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Is pressure-garment therapy effective in preventing hypertrophic scarring after burn injury?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does oral vitamin B provide benefits for health?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does carpal tunnel release surgery provide better outcomes than non-surgical treatment for carpal tunnel syndrome?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does disulfiram help in treating cocaine dependence?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do community-wide interventions help prevent falls in older adults?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is ibuprofen effective for managing acute postoperative pain in children?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does individualising the FSH dose based on ovarian reserve markers improve live birth rates in women undergoing IVF/ICSI?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does maintenance therapy improve outcomes for patients with chronic lymphocytic leukaemia?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Are effect estimates from randomized controlled trials similar to those from observational studies?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do certain treatments for relapsing-remitting multiple sclerosis reduce relapse frequency more effectively than others?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Does the position used during lumbar puncture in newborns affect the success rate of the procedure?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Is cranberry juice effective for treating urinary tract infections?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does medically assisted hydration improve quality of life or prolong survival in adults receiving palliative care?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do steroids help improve hearing in children with otitis media with effusion?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does motivational interviewing help reduce substance use?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do enzyme replacement therapies improve outcomes in people with late-onset Pompe disease?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is diclofenac effective for managing acute postoperative pain in children?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is add-on lamotrigine effective in reducing seizures for people with drug-resistant focal epilepsy?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Can reducing anticholinergic medications improve cognitive outcomes in older adults?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does endoscopic sinus surgery improve nasal and pulmonary function in cystic fibrosis patients with chronic rhinosinusitis and nasal polyposis?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is minimally invasive aortic valve replacement as effective as conventional surgery?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does adding an inhaled corticosteroid to LABA/LAMA inhalers improve treatment outcomes for stable COPD?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do intervention strategies improve childhood immunisation coverage in low- and middle-income countries?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do corticosteroids help prevent postherpetic neuralgia after herpes zoster?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do automated oxygen delivery systems improve oxygen management in preterm infants?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do immunotherapies for multiple sclerosis have a significant impact on the occurrence of serious adverse events compared to placebo?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can progestogens effectively prevent spontaneous ovulation in women undergoing controlled ovarian hyperstimulation?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can strategies be identified to increase responses to postal and electronic questionnaires?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Does nirmatrelvir/ritonavir help reduce severe outcomes in COVID-19 patients?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do statins help reduce cardiovascular events in adults with chronic kidney disease not requiring dialysis?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are red flags effective in screening for vertebral fractures in patients with low-back pain?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does training peer reviewers improve the quality of peer review?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Does oral dextrose gel effectively prevent hypoglycaemia in at-risk newborns?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are antidepressants and benzodiazepines effective treatments for panic disorder?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Is mesh repair more effective than non-mesh repair for emergency groin hernia surgery?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can understanding the experiences of women and healthcare providers improve the management of postpartum haemorrhage?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are stem cell-based interventions beneficial for treating stroke in newborn infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does administering antibiotics before or during embryo transfer improve pregnancy rates in assisted reproductive technology?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is the CAM-ICU tool effective for diagnosing delirium in ICU patients?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does postoperative face-down positioning improve the outcome of surgery for macular holes?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Do CFTR correctors improve health outcomes in patients with cystic fibrosis?   ||| LABEL: REFUTED   ||| LEVEL: LOW
