Python 3.12.3
cn3.hpc.itu.dk
Torch: 2.5.1+cu121
True Tesla V100-PCIE-32GB
[2025-11-10T16:52:59.537448] - Loaded model on: cuda:0
[2025-11-10T16:52:59.698994] - Loaded 16501 questions.
[2025-11-10T16:52:59.699109] - Chat-template active
[2025-11-10T16:52:59.712746] - Writing to /home/absz/Seminars/BioMistral/data/result/biomistral_plain_answers.txt
[2025-11-10T16:53:53.217908] - RAW#1 (repr, keep specials): 'SUPPORTED ||| RCTs show improved survival and quality of life.</s>'
[2025-11-10T16:53:54.019384] - RAW#2 (repr, keep specials): 'SUPPORTED ||| RCTs show reduced pain scores with facilitated tucking and containment.</s>'
[2025-11-10T16:53:54.696958] - RAW#3 (repr, keep specials): 'SUPPORTED ||| RCTs show reduced blood loss and transfusion rates.</s>'
[2025-11-10T16:55:23.797666] - Processed 100/16501
[2025-11-10T16:56:56.519548] - Processed 200/16501
[2025-11-10T16:58:28.684863] - Processed 300/16501
[2025-11-10T17:00:00.691557] - Processed 400/16501
[2025-11-10T17:01:34.517738] - Processed 500/16501
[2025-11-10T17:03:06.834872] - Processed 600/16501
[2025-11-10T17:04:41.025537] - Processed 700/16501
[2025-11-10T17:06:12.115371] - Processed 800/16501
[2025-11-10T17:07:43.445762] - Processed 900/16501
[2025-11-10T17:09:17.931889] - Processed 1000/16501
[2025-11-10T17:10:51.111238] - Processed 1100/16501
[2025-11-10T17:12:23.405328] - Processed 1200/16501
[2025-11-10T17:13:56.358011] - Processed 1300/16501
[2025-11-10T17:15:25.612158] - Processed 1400/16501
[2025-11-10T17:16:55.941424] - Processed 1500/16501
[2025-11-10T17:18:29.154333] - Processed 1600/16501
[2025-11-10T17:20:01.846613] - Processed 1700/16501
[2025-11-10T17:21:34.367273] - Processed 1800/16501
[2025-11-10T17:23:08.566902] - Processed 1900/16501
[2025-11-10T17:24:39.824221] - Processed 2000/16501
[2025-11-10T17:26:11.451514] - Processed 2100/16501
[2025-11-10T17:27:45.905680] - Processed 2200/16501
[2025-11-10T17:29:19.977206] - Processed 2300/16501
[2025-11-10T17:30:52.074653] - Processed 2400/16501
[2025-11-10T17:32:25.279582] - Processed 2500/16501
[2025-11-10T17:33:57.585487] - Processed 2600/16501
[2025-11-10T17:35:28.342434] - Processed 2700/16501
[2025-11-10T17:37:02.558983] - Processed 2800/16501
[2025-11-10T17:38:33.176138] - Processed 2900/16501
[2025-11-10T17:40:05.079810] - Processed 3000/16501
[2025-11-10T17:41:37.303841] - Processed 3100/16501
[2025-11-10T17:43:09.361329] - Processed 3200/16501
[2025-11-10T17:44:40.736532] - Processed 3300/16501
[2025-11-10T17:46:13.140171] - Processed 3400/16501
[2025-11-10T17:47:45.136409] - Processed 3500/16501
[2025-11-10T17:49:18.743583] - Processed 3600/16501
[2025-11-10T17:50:47.801279] - Processed 3700/16501
[2025-11-10T17:52:18.704249] - Processed 3800/16501
[2025-11-10T17:53:49.757214] - Processed 3900/16501
[2025-11-10T17:55:20.453231] - Processed 4000/16501
[2025-11-10T17:56:53.338996] - Processed 4100/16501
[2025-11-10T17:58:24.457442] - Processed 4200/16501
