Python 3.12.3
cn3.hpc.itu.dk
Torch: 2.5.1+cu121
True Tesla V100-PCIE-32GB
[2025-10-28T17:45:59.680554] - Loading Tokenizer..
[2025-10-28T17:45:59.962594] - Tokenizer loaded successfully!
[2025-10-28T17:45:59.962631] - Loading model..
[2025-10-28T17:46:13.544015] - Model loaded successfully!
[2025-10-28T17:46:13.544082] - model.embed_tokens.weight: cuda:0
[2025-10-28T17:46:13.561999] - Loaded 16501 questions.
[2025-10-28T17:46:13.571010] - Loaded 16501 prompts; writing to /home/absz/Seminars/Qwen/data/result/qwen_answers.txt
[2025-10-28T17:46:13.571028] - Generating answer..
[2025-10-28T17:46:52.025418] - Processed 50/16501
[2025-10-28T17:47:31.519262] - Processed 100/16501
[2025-10-28T17:48:10.883807] - Processed 150/16501
[2025-10-28T17:48:51.838748] - Processed 200/16501
[2025-10-28T17:49:32.455405] - Processed 250/16501
[2025-10-28T17:50:11.905217] - Processed 300/16501
[2025-10-28T17:50:50.029511] - Processed 350/16501
[2025-10-28T17:51:29.909050] - Processed 400/16501
[2025-10-28T17:52:08.913421] - Processed 450/16501
[2025-10-28T17:52:49.831860] - Processed 500/16501
[2025-10-28T17:53:30.085647] - Processed 550/16501
[2025-10-28T17:54:10.074571] - Processed 600/16501
[2025-10-28T17:54:48.937984] - Processed 650/16501
[2025-10-28T17:55:27.182141] - Processed 700/16501
[2025-10-28T17:56:06.487089] - Processed 750/16501
[2025-10-28T17:56:44.161238] - Processed 800/16501
[2025-10-28T17:57:24.206086] - Processed 850/16501
[2025-10-28T17:58:03.087896] - Processed 900/16501
[2025-10-28T17:58:43.168909] - Processed 950/16501
[2025-10-28T17:59:22.810235] - Processed 1000/16501
[2025-10-28T18:00:02.453351] - Processed 1050/16501
[2025-10-28T18:00:40.736162] - Processed 1100/16501
[2025-10-28T18:01:20.362381] - Processed 1150/16501
[2025-10-28T18:01:59.729740] - Processed 1200/16501
[2025-10-28T18:02:39.279275] - Processed 1250/16501
[2025-10-28T18:03:17.618355] - Processed 1300/16501
[2025-10-28T18:03:57.730236] - Processed 1350/16501
[2025-10-28T18:04:35.643540] - Processed 1400/16501
[2025-10-28T18:05:14.830121] - Processed 1450/16501
[2025-10-28T18:05:56.133698] - Processed 1500/16501
[2025-10-28T18:06:36.518525] - Processed 1550/16501
[2025-10-28T18:07:16.892344] - Processed 1600/16501
[2025-10-28T18:07:57.383218] - Processed 1650/16501
[2025-10-28T18:08:35.330607] - Processed 1700/16501
[2025-10-28T18:09:14.475439] - Processed 1750/16501
[2025-10-28T18:09:55.746867] - Processed 1800/16501
